id,asset_type_id,name,manufacturer,model,Cell Type,Power Wattage,Power output tolerance ():,Connector type:,Warranty Type,Phase 1 Years,Phase 1 Percent,Phase 2 Years,Phase 2 Percent,Length (in.),Width (in.),Depth (in.),Weight (lbs.)
,5,BYD 200P6C-24,BYD,200P6C-24,,,,,Linear,25,80,,,,,,
,5,BYD 200P6C-27,BYD,200P6C-27,,,,,Linear,25,80,,,,,,
,5,BYD 200P6C-30,BYD,200P6C-30,,,,,Linear,25,80,,,,,,
,5,BYD 205P6C-24,BYD,205P6C-24,,,,,Linear,25,80,,,,,,
,5,BYD 205P6C-27,BYD,205P6C-27,,,,,Linear,25,80,,,,,,
,5,BYD 205P6C-30,BYD,205P6C-30,,,,,Linear,25,80,,,,,,
,5,BYD 210P6C-24,BYD,210P6C-24,,,,,Linear,25,80,,,,,,
,5,BYD 210P6C-27,BYD,210P6C-27,,,,,Linear,25,80,,,,,,
,5,BYD 210P6C-30,BYD,210P6C-30,,,,,Linear,25,80,,,,,,
,5,BYD 215P6C-24,BYD,215P6C-24,,,,,Linear,25,80,,,,,,
,5,BYD 215P6C-27,BYD,215P6C-27,,,,,Linear,25,80,,,,,,
,5,BYD 215P6C-30,BYD,215P6C-30,,,,,Linear,25,80,,,,,,
,5,BYD 220P6C-24,BYD,220P6C-24,,,,,Linear,25,80,,,,,,
,5,BYD 220P6C-27,BYD,220P6C-27,,,,,Linear,25,80,,,,,,
,5,BYD 220P6C-30,BYD,220P6C-30,,,,,Linear,25,80,,,,,,
,5,BYD 225P6C-24,BYD,225P6C-24,,,,,Linear,25,80,,,,,,
,5,BYD 225P6C-27,BYD,225P6C-27,,,,,Linear,25,80,,,,,,
,5,BYD 225P6C-30,BYD,225P6C-30,,,,,Linear,25,80,,,,,,
,5,BYD 230P6C-27,BYD,230P6C-27,,,,,Linear,25,80,,,,,,
,5,BYD 230P6C-30,BYD,230P6C-30,,,,,Linear,25,80,,,,,,
,5,BYD 235P6C-27,BYD,235P6C-27,,,,,Linear,25,80,,,,,,
,5,BYD 235P6C-30,BYD,235P6C-30,,,,,Linear,25,80,,,,,,
,5,BYD 240P6C-27,BYD,240P6C-27,,,,,Linear,25,80,,,,,,
,5,BYD 240P6C-30,BYD,240P6C-30,,,,,Linear,25,80,,,,,,
,5,BYD 240P6C-36,BYD,240P6C-36,,,,,Linear,25,80,,,,,,
,5,BYD 245P6C-27,BYD,245P6C-27,,,,,Linear,25,80,,,,,,
,5,BYD 245P6C-30,BYD,245P6C-30,,,,,Linear,25,80,,,,,,
,5,BYD 245P6C-36,BYD,245P6C-36,,,,,Linear,25,80,,,,,,
,5,BYD 250P6C-27,BYD,250P6C-27,,,,,Linear,25,80,,,,,,
,5,BYD 250P6C-30,BYD,250P6C-30,,,,,Linear,25,80,,,,,,
,5,BYD 250P6C-36,BYD,250P6C-36,,,,,Linear,25,80,,,,,,
,5,BYD 255P6C-27,BYD,255P6C-27,,,,,Linear,25,80,,,,,,
,5,BYD 255P6C-30,BYD,255P6C-30,,,,,Linear,25,80,,,,,,
,5,BYD 255P6C-36,BYD,255P6C-36,,,,,Linear,25,80,,,,,,
,5,BYD 260P6C-30,BYD,260P6C-30,,,,,Linear,25,80,,,,,,
,5,BYD 260P6C-36,BYD,260P6C-36,,,,,Linear,25,80,,,,,,
,5,BYD 265P6C-30,BYD,265P6C-30,,,,,Linear,25,80,,,,,,
